"name"	"SN2014cd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003941.txt'>CBET 3941</a>"	"alias"	"2"
"aliases"	"SN2014cd,PSN J04234719-5136029"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"Stu Parker"
"discovermonth"	"8"
"discoveryear"	"2014"
"galdec"	"-513558"
"galra"	"042347"
"host"	"NGC 1578"
"hvel"	"6108"
"maxday"	"13"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.020608"
"sndec"	"-51:36:02.9"
"snra"	"04:23:47.19"
"photometry"	"timeunit"	"MJD"	"time"	"56882.5"	"abmag"	"15.8"	"source"	"2,1"
