"name"	"SN2012H"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002984.txt'>CBET 2984</a>"	"alias"	"2"
"aliases"	"SN2012H,PSN J05201494-2518563"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"CHASE"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-251928"
"galra"	"052019"
"host"	"IC 411"
"hvel"	"9549"
"maxday"	"13"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.03185"
"sndec"	"-25:18:56.3"
"snra"	"05:20:14.94"
"photometry"	"timeunit"	"MJD"	"time"	"55939.5"	"abmag"	"16.7"	"source"	"2,1"
