"name"	"K0811-4"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001600/CBET001682.txt'>CBET 1682</a>"	"alias"	"2"
"aliases"	"K0811-4,CSS081231:082817+302454"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2008"
"maxday"	"29"
"maxmonth"	"11"
"maxyear"	"2008"
"sndec"	"+30:24:54.1"
"snra"	"08:28:17.16"
"photometry"	"timeunit"	"MJD"	"time"	"54799.5"	"abmag"	"17.9"	"source"	"2,1"
