"name"	"SN2014cm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003951.txt'>CBET 3951</a>"	"alias"	"2"
"aliases"	"SN2014cm,PSN J18083060-5204114"
"claimedtype"	"II"
"discoverday"	"29"
"discoverer"	"Stu Parker"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"-520401"
"galra"	"180831"
"host"	"ESO 229-G8"
"hvel"	"5462"
"maxday"	"29"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.021"
"sndec"	"-52:04:11.4"
"snra"	"18:08:30.60"
"photometry"	"timeunit"	"MJD"	"time"	"56806.5"	"abmag"	"18.0"	"source"	"2,1"
