"name"	"PS15asb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15asb,CSS150619:142020-091803"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"PS1"
"discovermonth"	"6"
"discoveryear"	"2015"
"maxday"	"18"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.03"
"sndec"	"-09:18:03.2"
"snra"	"14:20:20.32"
"photometry"	"timeunit"	"MJD"	"time"	"57191.5"	"abmag"	"17.9"	"source"	"2,1"
