"name"	"SN2013fb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003643.txt'>CBET 3643</a>"	"alias"	"2"
"aliases"	"SN2013fb,CSS130904:022242+281601"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"Masaki Tsuboi"
"discovermonth"	"8"
"discoveryear"	"2013"
"galdec"	"+281524"
"galra"	"022241"
"host"	"IC 221"
"hvel"	"4988"
"maxday"	"30"
"maxmonth"	"8"
"maxyear"	"2013"
"redshift"	"0.017"
"sndec"	"+28:16:01.2"
"snra"	"02:22:42.07"
"photometry"	"timeunit"	"MJD"	"time"	"56534.5"	"abmag"	"15.4"	"source"	"2,1"
