"name"	"SN2011cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002717.txt'>CBET 2717</a>"	"alias"	"2"
"aliases"	"SN2011cg,CSS110414:145909+071804"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+071804"
"galra"	"145909"
"host"	"PGC 1318758"
"maxday"	"13"
"maxmonth"	"4"
"maxyear"	"2011"
"sndec"	"+07:18:04.2"
"snra"	"14:59:09.25"
"photometry"	"timeunit"	"MJD"	"time"	"55664.5"	"abmag"	"15.7"	"source"	"2,1"
