"name"	"SN2002hc"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II L"
"discoverday"	"14"
"discoverer"	"LOTOSS"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"-272721"
"galra"	"081706"
"host"	"NGC 2559"
"hvel"	"1542"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.00516"
"sndec"	"-272727.8"
"snra"	"081706.15"
"photometry"	"timeunit"	"MJD"	"time"	"52561.0"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52570.0"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52582.92"	"band"	"R"	"abmag"	"14.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52621.09"	"band"	"R"	"abmag"	"16.8"	"source"	"1,2"
