"name"	"SN2011ke"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003467.txt'>CBET 3467</a>"	"alias"	"2"
"aliases"	"SN2011ke,CSS110406:135058+261642"
"claimedtype"	"Ic"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+261642"
"galra"	"135057"
"host"	"A135057+2616"
"hvel"	"39800"
"maxday"	"24"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.143"
"sndec"	"+26:16:42.2"
"snra"	"13:50:57.79"
"photometry"	"timeunit"	"MJD"	"time"	"55675.5"	"abmag"	"17.7"	"source"	"2,1"
