"name"	"SN2015M"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004123.txt'>CBET 4123</a>"	"alias"	"2"
"aliases"	"SN2015M,PSN J13003230+2758411"
"claimedtype"	"Ia-91T"
"discoverday"	"20"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"5"
"discoveryear"	"2015"
"galdec"	"+275841"
"galra"	"130032"
"host"	"A130032+2758"
"hvel"	"6900"
"maxday"	"20"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.023"
"sndec"	"+27:58:41.1"
"snra"	"13:00:32.30"
"photometry"	"timeunit"	"MJD"	"time"	"57162.5"	"abmag"	"15.7"	"source"	"2,1"
