"name"	"SN2002H"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2002"
"galdec"	"-104216"
"galra"	"133830"
"host"	"M-02-35-11"
"hvel"	"6679"
"maxday"	"19"
"maxmonth"	"1"
"maxyear"	"2002"
"redshift"	"0.0225"
"sndec"	"-104312.9"
"snra"	"133827.58"
"photometry"	"timeunit"	"MJD"	"time"	"52293.5"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52294.5"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
