"name"	"K0905-11"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001861.txt'>CBET 1861</a>"	"alias"	"2"
"aliases"	"K0905-11,CSS090526:135143+090653"
"claimedtype"	"unk"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2009"
"maxday"	"25"
"maxmonth"	"5"
"maxyear"	"2009"
"sndec"	"+09:06:53.2"
"snra"	"13:51:43.30"
"photometry"	"timeunit"	"MJD"	"time"	"54976.5"	"abmag"	"19.4"	"source"	"2,1"
