"name"	"ASASSN-14az"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6151'>ATEL 6151</a>"	"alias"	"2"
"aliases"	"ASASSN-14az,MLS140831:234448-020701"
"claimedtype"	"IIb"
"discoverday"	"19"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"5"
"discoveryear"	"2014"
"host"	"PGC 1101367"
"maxday"	"19"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.0067"
"sndec"	"-02:07:03.2"
"snra"	"23:44:48.00"
"photometry"	"timeunit"	"MJD"	"time"	"56796.5"	"abmag"	"14.5"	"source"	"2,1"
