"name"	"SN2001ak"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"1"
"discoverer"	"LOTOSS"
"discovermonth"	"4"
"discoveryear"	"2001"
"galdec"	"+185413"
"galra"	"181730"
"host"	"UGC 11188"
"hvel"	"5285"
"maxday"	"12"
"maxmonth"	"4"
"maxyear"	"2001"
"redshift"	"0.0178"
"sndec"	"+185400.8"
"snra"	"181731.44"
"photometry"	"timeunit"	"MJD"	"time"	"52000.5"	"band"	"C"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52002.5"	"band"	"C"	"abmag"	"18.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52011.98"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52015.04"	"band"	"R"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52036.02"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
