"name"	"SN2002ds"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"25"
"discoverer"	"LOTOSS"
"discovermonth"	"6"
"discoveryear"	"2002"
"galdec"	"-204034"
"galra"	"151330"
"host"	"E581-G25"
"hvel"	"2306"
"maxday"	"25"
"maxmonth"	"6"
"maxyear"	"2002"
"redshift"	"0.00772"
"sndec"	"-204038.5"
"snra"	"151335.73"
"photometry"	"timeunit"	"MJD"	"time"	"52450.3"	"band"	"C"	"abmag"	"15.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52451.3"	"band"	"C"	"abmag"	"15.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52455.12"	"band"	"C"	"abmag"	"17.15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52456.16"	"band"	"R"	"abmag"	"15.98"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52459.89"	"band"	"R"	"abmag"	"16.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52465.89"	"band"	"R"	"abmag"	"16.2"	"source"	"1,2"
