"name"	"SN2014ea"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004000/CBET004054.txt'>CBET 4054</a>"	"alias"	"2"
"aliases"	"SN2014ea,PSN J10483231+2635179"
"claimedtype"	"Ia"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2014"
"galdec"	"+263502"
"galra"	"104827"
"host"	"UGC 5912"
"hvel"	"6295"
"maxday"	"21"
"maxmonth"	"12"
"maxyear"	"2014"
"redshift"	"0.021"
"sndec"	"+26:35:17.9"
"snra"	"10:48:32.31"
"photometry"	"timeunit"	"MJD"	"time"	"57012.5"	"abmag"	"15.5"	"source"	"2,1"
