"name"	"SN2007hz"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2007"
"galdec"	"-010145"
"galra"	"210308"
"host"	"A210308-0101"
"hvel"	"39100"
"maxday"	"8"
"maxmonth"	"9"
"maxyear"	"2007"
"redshift"	"0.14"
"sndec"	"-010145.1"
"snra"	"210308.95"
"photometry"	"timeunit"	"MJD"	"time"	"54346.0"	"band"	"g"	"abmag"	"19.7"	"source"	"1"
