"name"	"SN2011ka"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002996.txt'>CBET 2996</a>"	"alias"	"2"
"aliases"	"SN2011ka,PSN J05142826-6210190"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"Berto Monard"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-621014"
"galra"	"051430"
"host"	"ESO 119-G46"
"hvel"	"4953"
"maxday"	"1"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0173"
"sndec"	"-62:10:19.0"
"snra"	"05:14:28.26"
"photometry"	"timeunit"	"MJD"	"time"	"55927.5"	"abmag"	"14.5"	"source"	"2,1"
