"name"	"MASTER OT J072940.10+141425.5"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7050'>ATEL 7050</a>"	"alias"	"2"
"aliases"	"MASTER OT J072940.10+141425.5"
"claimedtype"	"IIP"
"discoverday"	"10"
"discoverer"	"MASTER"
"discovermonth"	"2"
"discoveryear"	"2015"
"maxday"	"10"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.026"
"sndec"	"+14:14:25.5"
"snra"	"07:29:40.10"
"photometry"	"timeunit"	"MJD"	"time"	"57063.5"	"abmag"	"17.4"	"source"	"2,1"
