"name"	"SN2010ht"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002400/CBET002455.txt'>CBET 2455</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010ht,SSS100813:233447-125036"
"claimedtype"	"IIP"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"8"
"discoveryear"	"2010"
"galdec"	"-125036"
"galra"	"233447"
"host"	"A233447-1250"
"hvel"	"8100"
"maxday"	"12"
"maxmonth"	"8"
"maxyear"	"2010"
"redshift"	"0.027"
"sndec"	"-12:50:36.1"
"snra"	"23:34:47.45"
"photometry"	"timeunit"	"MJD"	"time"	"55420.5"	"abmag"	"18.0"	"source"	"2,1"
