"name"	"SN2007oz"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+001457"
"galra"	"235716"
"host"	"A235716+0014"
"hvel"	"76900"
"maxday"	"20"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.3"
"sndec"	"+001457.7"
"snra"	"235716.57"
"photometry"	"timeunit"	"MJD"	"time"	"54388.0"	"band"	"g"	"abmag"	"23.0"	"source"	"1"
