"name"	"SN2004gv"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2014ApJS..213...19B'>Bianco et al. 2014</a>"	"alias"	"1"
"claimedtype"	"Ib"
"discoverday"	"11"
"discoverer"	"Chen et al."
"discovermonth"	"1"
"discoveryear"	"2005"
"galdec"	"-004303"
"galra"	"021338"
"host"	"NGC 856"
"hvel"	"5995"
"maxday"	"11"
"maxmonth"	"1"
"maxyear"	"2005"
"redshift"	"0.0202"
"sndec"	"-004305.8"
"snra"	"021337.42"
"photometry"	"timeunit"	"MJD"	"time"	"53381.09827"	"band"	"V"	"instrument"	"CfA3_MINI"	"abmag"	"17.961"	"aberr"	"0.027"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"53381.10072"	"band"	"r'"	"instrument"	"CfA3_MINI"	"abmag"	"17.597"	"aberr"	"0.027"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"53381.10234"	"band"	"i'"	"instrument"	"CfA3_MINI"	"abmag"	"17.355"	"aberr"	"0.029"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"53390.16487"	"band"	"V"	"instrument"	"CfA3_MINI"	"abmag"	"18.288"	"aberr"	"0.108"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"53399.11097"	"band"	"V"	"instrument"	"CfA3_MINI"	"abmag"	"18.705"	"aberr"	"0.043"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"53399.11343"	"band"	"r'"	"instrument"	"CfA3_MINI"	"abmag"	"18.353"	"aberr"	"0.033"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"53399.11512"	"band"	"i'"	"instrument"	"CfA3_MINI"	"abmag"	"18.157"	"aberr"	"0.041"	"source"	"1"
