"name"	"SN2013df"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003557.txt'>CBET 3557</a>"	"alias"	"2"
"aliases"	"SN2013df,PSN J12262933+3113383"
"claimedtype"	"IIb"
"discoverday"	"9"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"6"
"discoveryear"	"2013"
"galdec"	"+311324"
"galra"	"122627"
"host"	"NGC 4414"
"hvel"	"713"
"maxday"	"9"
"maxmonth"	"6"
"maxyear"	"2013"
"redshift"	"0.002388"
"sndec"	"+31:13:38.3"
"snra"	"12:26:29.33"
"photometry"	"timeunit"	"MJD"	"time"	"56452.5"	"abmag"	"13.0"	"source"	"2,1"
