"name"	"SN1998dl"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"ISN and VSNET 1999"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II P"
"discoverday"	"2"
"discoverer"	"LOSS"
"discovermonth"	"8"
"discoveryear"	"1998"
"galdec"	"-073442"
"galra"	"024600"
"host"	"NGC 1084"
"hvel"	"1414"
"maxday"	"9"
"maxmonth"	"8"
"maxyear"	"1998"
"redshift"	"0.00473"
"sndec"	"-073425.1"
"snra"	"024601.47"
"photometry"	"timeunit"	"MJD"	"time"	"51027.5"	"band"	"C"	"abmag"	"16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51034.5"	"band"	"C"	"abmag"	"15.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51045.5"	"band"	"C"	"abmag"	"16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51048.01"	"band"	"C"	"abmag"	"16.77"	"source"	"1,2"
