"name"	"SN2009cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001754.txt'>CBET 1754</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009cg,PTF09k"
"claimedtype"	"unk"
"discoverday"	"16"
"discoverer"	"PTF"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"+482649"
"galra"	"122617"
"host"	"A122617+4826"
"hvel"	"51600"
"maxday"	"16"
"maxmonth"	"3"
"maxyear"	"2009"
"redshift"	"0.19"
"sndec"	"+48:26:49.5"
"snra"	"12:26:17.84"
"photometry"	"timeunit"	"MJD"	"time"	"54906.5"	"abmag"	"20.9"	"source"	"2,1"
