"name"	"SN1998aq"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2005ApJ...627..579R'>2005ApJ...627..579R</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"4"
"source"	"name"	"D.Yu.Tsvetkov, N.N.Pavlyuk. In preparation."	"alias"	"5"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"6"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/06800/06875.html#Item1'>IAUC 6875</a>"	"alias"	"7"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"8"
"aliases"	"SN1998aq"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"Mark Armstrong"
"discovermonth"	"4"
"discoveryear"	"1998"
"galdec"	"+550731"
"galra"	"115628"
"host"	"NGC 3982"
"hvel"	"924"
"maxday"	"17"
"maxmonth"	"4"
"maxyear"	"1998"
"redshift"	"0.00309"
"sndec"	"+55:07:40.1"
"snra"	"11:56:25.76"
"photometry"	"timeunit"	"MJD"	"time"	"50920.5"	"abmag"	"12.0"	"source"	"7,6"
"photometry"	"timeunit"	"MJD"	"time"	"50906.91"	"band"	"C"	"abmag"	"12.4"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50912.91"	"band"	"C"	"abmag"	"12.6"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50918.62"	"band"	"C"	"abmag"	"14"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50918.88"	"band"	"C"	"abmag"	"14.1"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50918.9"	"band"	"C"	"abmag"	"14.2"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50919.0"	"band"	"C"	"abmag"	"14"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50919.57"	"band"	"C"	"abmag"	"13.8"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50919.87"	"band"	"C"	"abmag"	"13.7"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50919.88"	"band"	"C"	"abmag"	"13.6"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50920.145"	"band"	"U"	"abmag"	"12.724"	"aberr"	"0.017"	"source"	"1,2"
