"name"	"SN2012hv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003352.txt'>CBET 3352</a>"	"alias"	"2"
"aliases"	"SN2012hv,PSN J12472930-4319443"
"claimedtype"	"II"
"discoverday"	"15"
"discoverer"	"CHASE"
"discovermonth"	"12"
"discoveryear"	"2012"
"galdec"	"-432005"
"galra"	"124729"
"host"	"NGC 4681"
"hvel"	"3313"
"maxday"	"15"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.0111"
"sndec"	"-43:19:44.3"
"snra"	"12:47:29.30"
"photometry"	"timeunit"	"MJD"	"time"	"56276.5"	"abmag"	"16.1"	"source"	"2,1"
