"name"	"PSN J14571154+0849550"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5731'>ATEL 5731</a>"	"alias"	"2"
"aliases"	"PSN J14571154+0849550,MASTER OT J145711.54+084955.0"
"claimedtype"	"unk"
"discoverday"	"1"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2014"
"maxday"	"1"
"maxmonth"	"1"
"maxyear"	"2014"
"sndec"	"+08:49:55.0"
"snra"	"14:57:11.54"
"photometry"	"timeunit"	"MJD"	"time"	"56658.5"	"abmag"	"17.2"	"source"	"2,1"
