"name"	"SN2001P"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2001"
"galdec"	"+204506"
"galra"	"115320"
"host"	"NGC 3947"
"hvel"	"6198"
"maxday"	"3"
"maxmonth"	"2"
"maxyear"	"2001"
"redshift"	"0.0209"
"sndec"	"+204453.3"
"snra"	"115321.56"
"photometry"	"timeunit"	"MJD"	"time"	"51940.4"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51941.3"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51943.06"	"band"	"R"	"abmag"	"17"	"source"	"1,2"
