"name"	"SN2008fz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001500/CBET001524.txt'>CBET 1524</a>"	"alias"	"2"
"source"	"name"	"Stan Howerton"	"alias"	"3"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"4"
"aliases"	"SN2008fz,CSS080922:231617+114248"
"claimedtype"	"II"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2008"
"galdec"	"+114247"
"galra"	"231616"
"host"	"A231616+1142"
"hvel"	"37200"
"maxday"	"21"
"maxmonth"	"9"
"maxyear"	"2008"
"redshift"	"0.133"
"sndec"	"+11:42:47.5"
"snra"	"23:16:16.60"
"photometry"	"timeunit"	"MJD"	"time"	"54730.5"	"abmag"	"16.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"54742.238"	"band"	"C"	"abmag"	"16.5"	"source"	"3,1"
