"name"	"OGLE15ra"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://ogle.astrouw.edu.pl/ogle4/transients/transients.html'>OGLE page</a>"	"alias"	"2"
"aliases"	"OGLE15ra"
"discoverday"	"12"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"11"
"discoveryear"	"2015"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"2015"
"sndec"	"-72:27:23.2"
"snra"	"00:45:54.93"
"photometry"	"timeunit"	"MJD"	"time"	"57338.5"	"abmag"	"19.7"	"source"	"2,1"
