"name"	"SN2011ep"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011ep,CSS110414:170342+324553"
"claimedtype"	"Ic"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2011"
"galdec"	"+324552"
"galra"	"170341"
"host"	"A170341+3245"
"hvel"	"72500"
"maxday"	"8"
"maxmonth"	"7"
"maxyear"	"2011"
"redshift"	"0.28"
"sndec"	"+32:45:52.6"
"snra"	"17:03:41.78"
"photometry"	"timeunit"	"MJD"	"time"	"55750.5"	"abmag"	"19.0"	"source"	"2,1"
