"name"	"SN2013cj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003520.txt'>CBET 3520</a>"	"alias"	"2"
"aliases"	"SN2013cj,PSN J17045295+1255104"
"claimedtype"	"IIn"
"discoverday"	"12"
"discoverer"	"Xing Gao et al."
"discovermonth"	"6"
"discoveryear"	"2013"
"galdec"	"+125530"
"galra"	"170451"
"host"	"UGC 10685"
"hvel"	"9642"
"maxday"	"12"
"maxmonth"	"6"
"maxyear"	"2013"
"redshift"	"0.032162"
"sndec"	"+12:55:10.4"
"snra"	"17:04:52.95"
"photometry"	"timeunit"	"MJD"	"time"	"56455.5"	"abmag"	"16.3"	"source"	"2,1"
