"name"	"SN2011cs"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002733.txt'>CBET 2733</a>"	"alias"	"2"
"aliases"	"SN2011cs,CSS110427:120801+491333"
"claimedtype"	"Ic"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+491333"
"galra"	"120801"
"host"	"A120801+4913"
"hvel"	"28500"
"maxday"	"26"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.1"
"sndec"	"+49:13:33.0"
"snra"	"12:08:01.08"
"photometry"	"timeunit"	"MJD"	"time"	"55677.5"	"abmag"	"18.4"	"source"	"2,1"
