"name"	"SN2013ay"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003456.txt'>CBET 3456</a>"	"alias"	"2"
"aliases"	"SN2013ay,PSN J18423786-6456135"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CHASE"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-645635"
"galra"	"184236"
"host"	"IC 4745"
"hvel"	"4730"
"maxday"	"25"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.015728"
"sndec"	"-64:56:13.5"
"snra"	"18:42:37.86"
"photometry"	"timeunit"	"MJD"	"time"	"56376.5"	"abmag"	"15.1"	"source"	"2,1"
