"name"	"PS15btz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15btz,DES15S1cj"
"claimedtype"	"II?"
"discoverday"	"20"
"discoverer"	"PS1"
"discovermonth"	"8"
"discoveryear"	"2015"
"maxday"	"20"
"maxmonth"	"8"
"maxyear"	"2015"
"redshift"	"0.166"
"sndec"	"-00:05:01.6"
"snra"	"02:53:29.44"
"photometry"	"timeunit"	"MJD"	"time"	"57254.5"	"abmag"	"21.2"	"source"	"2,1"
