"name"	"SN2011bw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002704.txt'>CBET 2704</a>"	"alias"	"2"
"aliases"	"SN2011bw,CSS110330:153559+211843"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+211842"
"galra"	"153558"
"host"	"A153558+2118"
"hvel"	"26700"
"maxday"	"29"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.089"
"sndec"	"+21:18:42.8"
"snra"	"15:35:58.75"
"photometry"	"timeunit"	"MJD"	"time"	"55649.5"	"abmag"	"19.2"	"source"	"2,1"
