"name"	"SN2002cv"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"Larionov et al."
"discovermonth"	"5"
"discoveryear"	"2002"
"galdec"	"+214959"
"galra"	"101806"
"host"	"NGC 3190"
"hvel"	"1289"
"maxday"	"15"
"maxmonth"	"5"
"maxyear"	"2002"
"redshift"	"0.00431"
"sndec"	"+215006.0"
"snra"	"101803.68"
"photometry"	"timeunit"	"MJD"	"time"	"52408.0"	"band"	"I"	"abmag"	"18.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52408.0"	"band"	"I"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52409.2"	"band"	"I"	"abmag"	"16.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52409.2"	"band"	"R"	"abmag"	"19"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52409.23"	"band"	"I"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52409.23"	"band"	"R"	"abmag"	"20.3"	"source"	"1,2"
