"name"	"SN2001Q"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"31"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2001"
"galdec"	"+634342"
"galra"	"112520"
"host"	"UGC 6429"
"hvel"	"3724"
"maxday"	"7"
"maxmonth"	"2"
"maxyear"	"2001"
"redshift"	"0.0125"
"sndec"	"+634315.6"
"snra"	"112519.77"
"photometry"	"timeunit"	"MJD"	"time"	"51940.4"	"band"	"C"	"abmag"	"18.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51941.3"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51943.03"	"band"	"R"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51947.28"	"band"	"R"	"abmag"	"16.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51990.03"	"band"	"C"	"abmag"	"19"	"source"	"1,2"
