# sn98es.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451133.84  99.999 9.999  99.999 9.999  99.999 9.999  14.391 0.039  99.999 9.999
2451134.80  99.999 9.999  99.999 9.999  99.999 9.999  14.228 0.039  99.999 9.999
2451135.67  13.827 0.045  14.288 0.021  14.270 0.012  14.205 0.018  99.999 9.999
2451136.84  13.725 0.084  14.231 0.032  14.131 0.019  14.073 0.031  14.159 0.027
2451137.77  99.999 9.999  14.090 0.027  14.061 0.014  13.994 0.021  14.095 0.019
2451138.64  13.537 0.047  14.032 0.022  13.995 0.013  13.913 0.023  14.110 0.021
2451140.78  13.461 0.045  13.945 0.023  13.927 0.016  13.850 0.024  14.079 0.027
2451141.82  13.450 0.065  13.958 0.026  13.889 0.019  13.807 0.025  14.056 0.027
2451142.84  13.507 0.041  13.975 0.022  13.857 0.015  13.801 0.022  14.072 0.030
2451143.86  13.524 0.039  13.974 0.017  13.857 0.008  13.773 0.014  14.100 0.018
2451144.72  13.584 0.042  14.022 0.025  13.841 0.017  99.999 9.999  14.184 0.023
2451158.65  15.029 0.113  14.877 0.059  14.459 0.040  14.492 0.058  14.765 0.079
2451159.71  15.045 0.053  14.970 0.022  14.453 0.013  14.475 0.018  14.703 0.034
2451164.62  15.863 0.063  15.532 0.036  14.718 0.023  14.587 0.031  14.644 0.040
2451188.58  17.419 0.066  17.009 0.036  15.897 0.023  15.493 0.030  15.218 0.037
2451195.66  17.492 0.084  17.187 0.051  16.106 0.028  15.754 0.039  15.544 0.047
2451196.60  17.702 0.119  17.187 0.059  16.120 0.034  15.787 0.047  15.601 0.054
2451216.60  18.016 0.171  17.490 0.115  16.728 0.079  16.510 0.109  16.647 0.144
2451224.63  99.999 9.999  17.573 0.131  16.938 0.074  16.845 0.116  17.001 0.202
2451233.60  18.418 0.195  17.954 0.125  17.446 0.088  17.287 0.207  99.999 9.999
