#
# PHOTOMETRY OF SN 1995ak (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
50024.79	16.17 0.05	16.13 0.05	15.82 0.06	16.26 0.08
50025.82	16.19 0.06	16.12 0.05	15.86 0.04	16.29 0.10
50026.70	16.18 0.08	16.01 0.09	15.94 0.08	16.33 0.13
50031.71	16.77 0.05	16.41 0.05	16.41 0.05	16.74 0.09
50035.67	99.99 9.99	16.73 0.04	16.67 0.06	16.85 0.07
50036.62	17.48 0.06	16.78 0.05	16.63 0.07	16.76 0.09
50038.63	17.72 0.08	16.88 0.06	16.42 0.04	99.99 9.99
50039.82	17.76 0.04	16.86 0.04	16.57 0.04	99.99 9.99
50047.58	18.68 0.12	17.40 0.08	16.82 0.11	16.54 0.14
50048.57	18.65 0.05	17.33 0.07	16.84 0.06	16.48 0.07
50052.62	18.99 0.02	17.75 0.04	17.09 0.08	16.49 0.05
50066.72	19.54 0.06	18.34 0.03	17.87 0.03	17.32 0.05
50071.64	19.68 0.05	18.52 0.03	18.10 0.03	17.82 0.06
50077.69	19.88 0.05	18.68 0.04	18.25 0.03	18.12 0.03
50086.67	20.08 0.05	19.01 0.04	18.74 0.04	18.46 0.08
50091.72	20.14 0.05	19.11 0.03	18.91 0.03	18.68 0.03
