#
# Photometry of SN 1998aq (Riess et al. 2005, ApJ 627, 579)
#
#JD-2450000	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr
920.64500	12.724  0.017	13.551  0.027	13.708  0.019	13.613  0.017	13.607  0.015
921.64300	12.414  0.016	13.264  0.022	13.431  0.016	13.328  0.016	13.359  0.024
922.63800	12.202  0.016	13.046  0.022	13.208  0.012	13.110  0.011	13.160  0.019
923.66100	12.030  0.020	12.861  0.019	13.036  0.013	12.930  0.013	13.010  0.014
923.66200	12.031  0.026	12.867  0.020	13.029  0.014	12.929  0.016	13.005  0.021
924.65000	11.921  0.015	12.729  0.021	12.881  0.018	12.788  0.014	12.879  0.024
924.65100	11.916  0.019	12.718  0.030	12.885  0.019	12.790  0.014	12.874  0.026
925.77400	11.812  0.014	12.600  0.030	12.766  0.025	12.670  0.026	12.776  0.023
925.77700	11.816  0.010	12.605  0.019	12.777  0.015	12.661  0.027	12.774  0.026
925.78000	99.999  9.999	99.999  9.999	12.752  0.023	99.999  9.999	99.999  9.999
925.79000	99.999  9.999	99.999  9.999	12.754  0.028	99.999  9.999	99.999  9.999
925.79100	99.999  9.999	12.596  0.043	12.763  0.030	12.661  0.021	12.775  0.017
926.74800	11.732  0.065	12.523  0.047	12.666  0.025	12.602  0.019	12.737  0.022
926.74800	11.745  0.049	12.522  0.043	12.666  0.020	12.615  0.051	12.745  0.022
928.75500	11.715  0.015	12.419  0.027	12.531  0.019	12.501  0.019	12.699  0.024
928.75500	11.704  0.032	12.410  0.029	12.537  0.022	12.486  0.025	12.701  0.019
930.77000	11.723  0.026	12.357  0.028	12.479  0.021	12.445  0.014	12.747  0.021
930.77100	11.736  0.043	12.358  0.028	12.469  0.015	12.446  0.014	12.743  0.021
931.79700	11.785  0.045	12.365  0.017	12.458  0.019	12.434  0.016	12.774  0.020
931.79800	11.771  0.054	12.366  0.017	12.465  0.013	12.436  0.015	12.768  0.020
932.74700	11.825  0.016	12.375  0.020	12.465  0.017	12.443  0.017	12.843  0.026
932.74700	11.819  0.019	12.378  0.019	12.467  0.017	12.454  0.013	12.816  0.031
934.76300	11.993  0.017	12.448  0.023	12.499  0.018	12.441  0.017	12.886  0.025
934.76300	11.981  0.012	12.451  0.023	12.506  0.013	12.451  0.019	12.878  0.032
936.67200	12.118  0.041	12.558  0.027	12.547  0.017	12.529  0.026	12.971  0.022
936.67200	12.117  0.052	12.560  0.022	12.563  0.015	12.526  0.018	12.966  0.027
937.81700	12.234  0.042	12.634  0.024	12.590  0.018	12.579  0.016	13.091  0.038
937.81700	12.245  0.023	12.633  0.025	12.597  0.024	12.577  0.022	13.084  0.032
939.75200	12.453  0.052	12.767  0.047	12.686  0.016	12.715  0.017	13.190  0.020
939.75300	12.429  0.034	12.778  0.029	12.681  0.013	12.716  0.018	13.199  0.016
949.70100	13.799  0.026	13.843  0.022	13.286  0.026	13.249  0.019	13.389  0.029
949.70100	13.812  0.016	13.837  0.031	13.312  0.023	13.303  0.020	13.400  0.024
951.74600	14.116  0.025	14.118  0.021	13.405  0.019	13.294  0.032	13.336  0.030
951.74600	14.118  0.028	14.126  0.024	13.417  0.016	13.281  0.013	13.337  0.025
953.70700	14.416  0.029	14.361  0.020	13.524  0.018	13.308  0.028	13.289  0.028
953.70700	14.403  0.055	14.369  0.029	13.527  0.018	13.342  0.023	13.289  0.025
956.65600	14.787  0.035	14.686  0.031	13.708  0.024	13.368  0.029	13.226  0.020
956.65700	14.775  0.045	14.714  0.019	13.667  0.032	13.408  0.025	13.267  0.026
960.69600	15.130  0.024	15.009  0.019	13.892  0.020	13.514  0.020	13.231  0.018
960.69700	15.132  0.018	15.018  0.017	13.902  0.024	13.536  0.040	13.235  0.025
963.64600	15.243  0.051	15.211  0.017	14.063  0.015	13.724  0.038	13.358  0.024
963.64600	15.273  0.039	15.209  0.020	14.102  0.051	13.692  0.015	13.365  0.022
980.68000	15.773  0.029	15.785  0.034	14.859  0.037	14.526  0.017	14.375  0.017
982.70100	15.829  0.046	15.778  0.048	14.940  0.050	14.654  0.033	14.476  0.036
987.69200	15.877  0.029	15.828  0.013	14.965  0.020	14.756  0.017	14.713  0.018
987.69300	99.999  9.999	99.999  9.999	14.946  0.017	99.999  9.999	99.999  9.999
987.70100	99.999  9.999	99.999  9.999	14.954  0.018	99.999  9.999	99.999  9.999
995.67900	16.014  0.032	15.942  0.018	15.161  0.019	14.998  0.016	15.080  0.024
1010.6530	16.388  0.035	16.138  0.015	15.560  0.012	15.503  0.011	15.691  0.026
1013.6570	16.470  0.033	16.197  0.024	15.642  0.023	15.593  0.019	15.806  0.023
1013.6630	99.999  9.999	99.999  9.999	15.650  0.018	99.999  9.999	99.999  9.999
1013.6700	99.999  9.999	99.999  9.999	15.639  0.020	99.999  9.999	99.999  9.999
1024.6430	16.648  0.043	16.346  0.032	15.913  0.019	15.941  0.027	16.214  0.031
1137.0280	19.328  0.142	18.090  0.019	18.028  0.077	18.625  0.145	18.587  0.044
1195.9130	20.455  0.336	18.956  0.031	18.833  0.087	19.599  0.144	99.999  9.999
1216.9110	99.999  9.999	19.299  0.032	19.291  0.035	99.999  9.999	99.999  9.999
1224.8590	99.999  9.999	19.433  0.067	19.427  0.039	20.146  0.230	19.998  0.167
1275.8010	99.999  9.999	20.013  0.074	20.140  0.131	99.999  9.999	99.999  9.999
