#
# PHOTOMETRY OF SN 1994M (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
49476.76	99.99 9.99	16.29 0.06	99.99 9.99	99.99 9.99
49477.71	16.44 0.03	16.29 0.03	16.12 0.03	16.51 0.03
49479.72	16.51 0.02	16.35 0.02	16.13 0.02	16.57 0.02
49480.69	16.60 0.03	16.42 0.03	16.23 0.03	16.67 0.03
49481.78	99.99 9.99	16.38 0.03	16.19 0.03	16.63 0.03
49483.69	16.89 0.03	16.56 0.03	16.52 0.03	16.81 0.03
49484.77	16.97 0.04	16.61 0.04	16.55 0.04	16.92 0.04
49485.77	17.13 0.04	16.81 0.04	99.99 9.99	99.99 9.99
49489.66	17.60 0.03	16.92 0.03	16.87 0.03	17.03 0.03
49497.74	99.99 9.99	17.37 0.12	16.95 0.12	16.72 0.12
49500.69	18.95 0.05	17.59 0.05	17.19 0.05	16.81 0.05
49505.68	19.29 0.05	18.10 0.05	17.64 0.05	17.31 0.05
49508.75	19.40 0.06	18.15 0.06	17.76 0.06	17.49 0.06
49512.75	19.56 0.07	18.34 0.07	17.95 0.07	17.75 0.07
49514.71	19.62 0.06	18.40 0.06	18.02 0.06	17.84 0.06
49538.70	99.99 9.99	19.17 0.07	99.99 9.99	99.99 9.99
49542.67	20.02 0.10	19.16 0.10	19.14 0.10	19.11 0.10
49546.65	99.99 9.99	19.26 0.15	99.99 9.99	99.99 9.99
