#
# Photometry of SN 1994ae (Riess et al. 2005, ApJ 627, 579)
#
#JD-2440000	U	Uerr	B	Berr	V	Verr	R	Rerr	I      Ierr
9672.97		99.999 9.999	14.865 0.041	14.833 0.027	14.711 0.022	14.599 0.028
9674.96		99.999 9.999	14.109 0.044	14.133 0.040	14.007 0.026	13.948 0.019
9676.96		99.999 9.999	13.730 0.167	13.690 0.051	13.580 0.019	13.590 0.033
9678.00		99.999 9.999	13.516 0.030	13.513 0.039	13.422 0.018	99.999 9.999
9686.00		12.548 0.084	13.059 0.024	13.045 0.030	13.046 0.028	13.287 0.039
9686.99		12.608 0.044	13.082 0.028	13.077 0.021	13.064 0.018	13.322 0.031
9688.04		99.999 9.999	13.104 0.035	13.118 0.030	13.097 0.015	13.363 0.042
9689.06		12.728 0.052	13.190 0.047	13.120 0.024	13.097 0.100	13.383 0.070
9690.03		12.753 0.052	13.231 0.040	13.141 0.036	13.133 0.034	13.449 0.083
9694.03		99.999 9.999	13.435 0.038	13.306 0.027	13.312 0.023	13.683 0.026
9695.03		99.999 9.999	13.515 0.031	13.329 0.034	13.358 0.020	13.784 0.099
9695.97		99.999 9.999	13.576 0.035	13.398 0.026	13.438 0.013	13.812 0.022
9696.96		99.999 9.999	13.674 0.028	13.438 0.028	13.525 0.015	13.877 0.023
9699.98		99.999 9.999	13.931 0.046	13.645 0.023	13.715 0.015	13.957 0.031
9700.97		99.999 9.999	14.048 0.069	13.673 0.024	13.763 0.023	14.001 0.031
9702.96		99.999 9.999	14.260 0.034	13.785 0.022	13.793 0.018	13.943 0.030
9705.06		99.999 9.999	14.446 0.047	13.888 0.028	13.809 0.020	13.890 0.024
9707.06		99.999 9.999	14.669 0.040	13.960 0.040	13.836 0.030	13.886 0.060
9715.93		99.999 9.999	15.491 0.042	14.418 0.029	14.073 0.040	13.773 0.070
9721.03		99.999 9.999	15.790 0.040	14.677 0.059	14.382 0.020	13.998 0.036
9725.01		99.999 9.999	15.949 0.036	14.942 0.022	14.636 0.019	14.256 0.024
9726.96		16.113 0.196	15.996 0.060	14.967 0.018	14.685 0.020	14.390 0.027
9740.86		99.999 9.999	16.262 0.042	15.447 0.030	15.249 0.035	15.048 0.030
9744.94		99.999 9.999	16.340 0.041	15.541 0.032	15.342 0.022	15.202 0.032
9745.92		99.999 9.999	16.348 0.050	15.589 0.026	15.378 0.023	15.263 0.033
9749.99		99.999 9.999	16.381 0.042	15.650 0.052	99.999 9.999	99.999 9.999
9769.74		99.999 9.999	16.645 0.070	16.191 0.058	16.136 0.063	16.214 0.070
9783.86		99.999 9.999	16.861 0.063	16.541 0.069	16.563 0.072	99.999 9.999
9805.88		99.999 9.999	17.235 0.082	16.982 0.083	17.186 0.071	17.362 0.080
