#
# Photometry of SN 2005bf (Tominaga et al. 2005, ApJ 633, L97)
#
# JD-2400000	 J	  Jerr	    H	     Herr      K	Kerr	 
50481.64         16.564   0.100     16.225   0.260     16.441   0.111
50482.64         16.524   0.051     16.334   0.057     16.369   0.131
50485.64         16.374   0.079     16.190   0.061     99.999   9.999
50486.64         16.348   0.057     16.315   0.147     16.192   0.069
50487.64         16.333   0.086     16.074   0.108     99.999   9.999
50488.64         16.235   0.099     16.001   0.293     15.975   0.100
50489.63         16.186   0.063     99.999   9.999     16.045   0.131
50490.62         16.098   0.079     15.908   0.161     16.006   0.076
50492.63         15.964   0.053     15.964   0.142     15.867   0.089
50493.63         15.969   0.035     15.903   0.099     15.788   0.118
50493.73         15.966   0.064     15.915   0.238     15.870   0.088
50494.63         15.946   0.048     15.819   0.055     15.876   0.056
50494.69         15.890   0.074     15.750   0.148     15.875   0.137
50495.65         16.007   0.054     99.999   9.999     15.910   0.140
50495.66         99.999   9.999     16.077   0.047     99.999   9.999
50495.73         15.812   0.066     16.215   0.150     99.999   9.999
50497.64         15.883   0.017     99.999   9.999     15.736   0.096
50497.72         15.838   0.027     15.702   0.096     15.630   0.098
50498.62         15.828   0.165     15.357   0.183     15.746   0.129
50498.69         15.846   0.044     15.732   0.080     15.627   0.149
50499.64         15.797   0.037     15.759   0.042     15.647   0.108
50499.72         15.807   0.166     15.639   0.177     15.610   0.098
50500.64         15.821   0.053     15.674   0.068     15.820   0.238
50501.63         15.752   0.055     15.699   0.221     15.480   0.101
50502.62         15.780   0.107     15.538   0.428     99.999   9.999
50502.62         99.999   9.999     99.999   9.999     15.666   0.067
50503.62         15.761   0.125     15.523   0.179     99.999   9.999
50504.62         99.999   9.999     99.999   9.999     15.535   0.185
50509.63         15.731   0.086     15.509   0.337     15.463   0.112
50513.63         15.815   0.034     15.500   0.091     15.774   0.120
50515.63         15.784   0.052     15.540   0.177     15.603   0.078
50516.63         15.813   0.054     15.742   0.060     15.610   0.105
50525.64         16.170   0.290     99.999   9.999     15.740   0.085
