#
# Photometry of SN 2005bf (Tominaga et al. 2005, ApJ 633, L97)
#
# JD-2400000	 U	Uerr	 B	Berr	 V	Verr	 r'	r'err	 i'	i'err
53471.23	 17.25  0.08	 17.89  0.05	 17.71  0.05	 17.78  0.05	 17.93  0.09
53472.24	 17.19  0.07	 17.78  0.05	 17.62  0.05	 17.72  0.04	 17.83  0.09
53473.20	 17.13  0.07	 17.74  0.05	 17.57  0.04	 17.66  0.04	 17.77  0.09
53474.20	 17.11  0.07	 17.70  0.05	 17.54  0.04	 17.60  0.04	 17.72  0.08
53476.21	 17.30  0.08	 17.77  0.06	 17.46  0.05	 17.51  0.05	 17.62  0.09
53477.19	 17.60  0.08	 17.80  0.05	 17.49  0.04	 17.45  0.04	 17.61  0.08
53478.16	 17.60  0.14	 17.86  0.07	 17.51  0.06	 17.44  0.05	 17.54  0.10
53482.19	 17.62  0.14	 17.75  0.07	 17.29  0.05	 17.22  0.04	 17.34  0.08
53483.27	 17.53  0.13	 17.84  0.31	 17.25  0.13	 17.26  0.13	 17.23  0.11
53485.19	 17.53  0.13	 17.65  0.06	 17.07  0.05	 17.09  0.04	 17.18  0.08
53486.21	 17.48  0.13	 17.46  0.09	 17.01  0.05	 17.00  0.04	 17.12  0.08
53490.25	 16.92  0.11	 17.06  0.05	 16.72  0.04	 16.68  0.04	 16.84  0.08
53492.17	 16.60  0.07	 16.91  0.05	 16.59  0.04	 16.60  0.04	 16.71  0.08
53493.14	 16.52  0.07	 16.84  0.05	 16.56  0.04	 16.54  0.04	 16.68  0.08
53494.15	 16.45  0.06	 16.80  0.05	 16.53  0.04	 16.51  0.04	 16.64  0.08
53495.14	 16.51  0.06	 16.76  0.05	 16.50  0.05	 16.47  0.04	 16.50  0.10
53496.13	 16.36  0.06	 16.78  0.05	 16.47  0.04	 16.45  0.04	 16.56  0.08
53497.15	 16.33  0.06	 16.75  0.05	 16.45  0.04	 16.43  0.04	 16.53  0.08
53498.14	 16.32  0.06	 16.73  0.04	 16.45  0.04	 16.43  0.04	 16.50  0.08
53499.13	 16.32  0.06	 16.75  0.04	 16.45  0.04	 16.42  0.04	 16.50  0.08
53501.16	 16.46  0.07	 16.84  0.06	 16.54  0.06	 16.47  0.06	 16.45  0.08
53502.18	 16.53  0.06	 16.89  0.05	 16.49  0.04	 16.46  0.04	 16.46  0.08
53503.18	 16.59  0.07	 16.89  0.05	 16.52  0.04	 16.43  0.04	 16.44  0.08
53509.16	 17.08  0.12	 17.30  0.08	 16.67  0.05	 16.49  0.05	 16.52  0.09
53510.15	 17.09  0.15	 17.20  0.06	 16.76  0.05	 16.60  0.04	 16.49  0.08
53511.15	 17.12  0.23	 17.62  0.12	 16.77  0.06	 16.63  0.05	 16.53  0.09
53512.15	 17.42  0.25	 17.46  0.10	 16.88  0.05	 16.65  0.05	 16.59  0.09
53513.16	 17.43  0.45	 17.65  0.18	 16.90  0.07	 16.67  0.05	 16.54  0.09
53516.16	 17.92  0.10	 17.90  0.05	 17.10  0.05	 16.81  0.04	 16.70  0.08
53522.16	 18.13  0.33	 18.52  0.10	 17.50  0.16	 17.17  0.05	 17.06  0.18
53524.14	 18.72  0.18	 18.70  0.08	 17.70  0.05	 17.34  0.05	 17.20  0.09
53526.15	 19.40  0.44	 19.01  0.09	 17.86  0.05	 17.42  0.04	 17.28  0.09
