# sn98ab.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2450906.82  15.974 0.038  16.602 0.015  16.570 0.008  16.478 0.013  16.565 0.015
2450920.66  16.216 0.044  16.384 0.019  16.216 0.008  16.082 0.011  16.473 0.017
2450922.65  16.438 0.040  16.533 0.015  16.277 0.009  16.153 0.012  16.520 0.014
2450925.84  16.850 0.040  16.850 0.015  16.388 0.008  16.280 0.012  16.606 0.014
2450930.76  17.673 0.045  17.431 0.018  16.746 0.009  16.503 0.013  16.605 0.015
2450931.81  17.865 0.046  17.583 0.020  16.781 0.011  16.571 0.015  16.583 0.017
2450936.68  18.425 0.065  18.132 0.027  17.106 0.011  16.695 0.017  16.617 0.021
2450938.71  18.840 0.104  18.300 0.032  17.211 0.015  16.772 0.021  16.668 0.023
2450952.69  99.999 9.999  19.096 0.037  17.914 0.015  17.311 0.024  17.030 0.028
2450955.65  19.568 0.075  99.999 9.999  18.035 0.012  17.452 0.021  17.213 0.031
2450961.69  19.522 0.071  19.365 0.028  18.255 0.013  17.686 0.019  17.520 0.024
2450964.65  99.999 9.999  19.505 0.086  18.349 0.029  17.824 0.043  17.683 0.042
2450980.69  19.721 0.113  19.649 0.063  18.702 0.026  18.369 0.042  18.330 0.058
2450987.73  19.882 0.075  19.661 0.052  18.863 0.016  18.542 0.028  18.406 0.067
