#
# UBVRI Photometry of SN 1998bu (Jha et al. 1999, ApJS 125, 73)
#
#Julian Day	U     Uerr 	B     Berr	V     Verr	R     Rerr 	I     Ierr	
2450944.68	99.99 9.99 	99.99 9.99 	12.45 0.14 	12.23 0.10 	11.95 0.15 
2450947.63	99.99 9.99 	12.47 0.11 	12.15 0.02 	11.86 0.04 	11.72 0.04 
2450948.59	99.99 9.99 	99.99 9.99 	12.08 0.02 	11.80 0.04 	11.68 0.04 
2450948.65	99.99 9.99 	12.41 0.09 	12.09 0.02 	11.80 0.04 	11.70 0.04 
2450949.67	99.99 9.99 	99.99 9.99 	11.99 0.03 	11.74 0.05 	11.67 0.06 
2450949.67	11.96 0.04 	12.29 0.02 	11.98 0.01 	11.72 0.03 	11.63 0.03 
2450951.58	99.99 9.99 	12.28 0.07 	11.90 0.02 	11.71 0.04 	11.68 0.04 
2450951.63	99.99 9.99 	99.99 9.99 	11.93 0.03 	11.72 0.04 	11.67 0.04 
2450951.67	99.99 9.99 	99.99 9.99 	11.91 0.03 	11.80 0.09 	99.99 9.99 
2450951.68	99.99 9.99 	12.21 0.02 	11.90 0.01 	11.68 0.03 	11.66 0.03 
2450952.62	99.99 9.99 	12.29 0.07 	11.87 0.02 	11.70 0.04 	11.70 0.04 
2450952.64	99.99 9.99 	99.99 9.99 	11.88 0.02 	11.71 0.05 	11.74 0.05 
2450952.66	12.00 0.05 	12.21 0.02 	11.86 0.01 	11.66 0.03 	11.71 0.03 
2450952.67	99.99 9.99 	99.99 9.99 	11.85 0.03 	11.75 0.09 	11.69 0.06 
2450953.63	99.99 9.99 	12.34 0.11 	99.99 9.99 	99.99 9.99 	99.99 9.99 
2450953.70	12.03 0.05 	12.24 0.02 	11.87 0.01 	11.66 0.03 	11.73 0.03 
2450955.64	12.14 0.05 	12.28 0.02 	11.86 0.01 	11.65 0.03 	11.79 0.03 
2450955.66	99.99 9.99 	12.26 0.11 	11.88 0.02 	11.66 0.04 	11.80 0.05 
2450955.68	99.99 9.99 	99.99 9.99 	11.85 0.03 	99.99 9.99 	11.82 0.06 
2450956.59	99.99 9.99 	12.35 0.07 	11.90 0.02 	11.71 0.04 	11.83 0.04 
2450956.64	12.23 0.04 	12.32 0.02 	11.87 0.01 	11.67 0.03 	11.80 0.03 
2450956.68	99.99 9.99 	99.99 9.99 	11.89 0.03 	11.79 0.09 	11.84 0.06 
2450957.63	12.31 0.05 	12.36 0.02 	11.92 0.01 	11.72 0.03 	11.87 0.03 
2450957.65	99.99 9.99 	12.34 0.11 	11.96 0.03 	11.75 0.05 	11.88 0.05 
2450959.68	12.48 0.04 	12.50 0.02 	12.01 0.01 	11.82 0.03 	11.98 0.03 
2450960.57	99.99 9.99 	12.57 0.07 	12.02 0.02 	11.91 0.04 	12.04 0.04 
2450960.69	12.61 0.05 	12.56 0.02 	12.04 0.01 	11.89 0.03 	12.05 0.03 
2450961.57	99.99 9.99 	12.74 0.11 	12.12 0.03 	12.02 0.05 	99.99 9.99 
2450961.60	99.99 9.99 	12.64 0.07 	12.07 0.02 	11.99 0.04 	12.10 0.04 
2450962.66	12.76 0.05 	12.70 0.02 	12.12 0.01 	12.05 0.03 	12.21 0.03 
2450963.64	12.86 0.05 	12.81 0.03 	12.21 0.02 	12.15 0.03 	12.26 0.04 
2450963.68	99.99 9.99 	12.88 0.05 	12.26 0.02 	12.28 0.06 	12.30 0.04 
2450964.63	13.01 0.05 	12.94 0.03 	12.28 0.01 	12.21 0.03 	12.30 0.03 
2450964.68	99.99 9.99 	12.97 0.05 	12.34 0.02 	99.99 9.99 	12.32 0.04 
2450965.64	13.14 0.05 	13.03 0.02 	12.35 0.01 	12.29 0.03 	12.31 0.03 
2450965.67	99.99 9.99 	13.05 0.03 	12.42 0.02 	99.99 9.99 	12.33 0.04 
2450966.60	99.99 9.99 	13.10 0.07 	12.42 0.02 	12.35 0.04 	12.29 0.04 
2450967.65	13.45 0.05 	13.24 0.02 	12.48 0.01 	99.99 9.99 	99.99 9.99 
2450967.66	13.35 0.05 	13.24 0.02 	12.50 0.01 	99.99 9.99 	12.35 0.03 
2450968.67	13.53 0.04 	13.40 0.02 	12.59 0.01 	12.46 0.03 	12.33 0.03 
2450968.68	13.50 0.04 	13.36 0.02 	12.55 0.01 	99.99 9.99 	12.33 0.03 
2450968.72	13.60 0.05 	13.43 0.03 	12.62 0.02 	12.48 0.03 	12.31 0.03 
2450969.59	99.99 9.99 	13.51 0.11 	12.62 0.02 	12.43 0.05 	12.26 0.04 
2450969.60	99.99 9.99 	13.40 0.07 	12.61 0.02 	12.43 0.04 	12.25 0.04 
2450969.65	13.68 0.04 	13.51 0.02 	12.64 0.01 	12.47 0.03 	12.31 0.03 
2450969.67	13.75 0.05 	13.52 0.03 	12.66 0.02 	12.50 0.03 	12.30 0.03 
2450969.69	99.99 9.99 	13.53 0.05 	12.66 0.02 	12.50 0.06 	12.32 0.06 
2450969.69	13.66 0.04 	13.47 0.02 	12.59 0.01 	99.99 9.99 	12.28 0.03 
2450970.69	13.82 0.05 	13.59 0.02 	12.64 0.01 	99.99 9.99 	12.25 0.03 
