#
# PHOTOMETRY OF SN 1996bo (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
50381.7   	16.42 0.02	16.15 0.01	15.74 0.01	15.73 0.01
50385.7   	16.16 0.02	15.81 0.01	15.46 0.01	15.67 0.01
50386.6   	16.15 0.02	15.79 0.01	15.46 0.01	15.72 0.01
50388.6   	16.22 0.02	15.75 0.01	15.46 0.01	15.71 0.01
50392.6   	16.37 0.02	15.84 0.01	15.57 0.01	15.81 0.01
50394.7   	16.57 0.02	15.91 0.01	15.67 0.01	15.96 0.01
50396.8   	16.81 0.02	16.06 0.01	15.84 0.01	16.09 0.01
50398.8   	17.02 0.02	16.14 0.01	16.01 0.01	16.15 0.01
50401.8   	17.37 0.02	16.37 0.01	16.13 0.01	16.22 0.01
50405.8   	17.84 0.02	16.55 0.01	16.22 0.01	16.11 0.01
50412.7   	18.47 0.04	16.94 0.02	16.31 0.01	15.99 0.01
50427.7   	18.72 0.03	18.23 0.02	17.18 0.02	16.86 0.02
50432.7   	18.91 0.03	18.32 0.02	17.39 0.01	17.04 0.02
