# sn99gh.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451520.95  15.381 0.040  15.172 0.011  14.507 0.007  14.450 0.008  14.651 0.013
2451522.01  15.568 0.040  15.321 0.011  14.587 0.007  14.524 0.011  14.687 0.015
2451523.00  15.733 0.037  15.477 0.014  14.657 0.010  14.570 0.012  14.679 0.015
2451524.97  16.067 0.038  15.814 0.015  14.813 0.010  14.661 0.012  14.707 0.015
2451527.04  16.420 0.043  16.099 0.016  14.991 0.009  14.712 0.012  14.589 0.014
2451541.95  17.656 0.051  17.477 0.017  16.247 0.009  15.799 0.012  15.520 0.016
2451545.95  17.810 0.113  17.631 0.015  16.442 0.010  15.986 0.014  15.737 0.019
2451549.92  17.902 0.052  17.728 0.019  16.589 0.008  16.190 0.012  15.973 0.020
2451552.93  99.999 9.999  17.800 0.017  16.688 0.007  16.320 0.011  16.129 0.026
2451554.89  18.079 0.051  17.800 0.018  16.730 0.009  16.382 0.014  16.238 0.019
2451575.81  18.628 0.125  18.148 0.028  17.359 0.019  17.182 0.030  17.052 0.067
2451581.85  18.804 0.091  18.270 0.019  17.524 0.009  17.386 0.019  17.424 0.076
2451584.82  18.885 0.087  18.331 0.031  17.596 0.021  17.509 0.029  17.521 0.059
2451588.79  19.003 0.172  18.419 0.039  17.711 0.023  17.653 0.033  17.664 0.097
2451589.81  99.999 9.999  99.999 9.999  17.749 0.028  17.638 0.054  17.550 0.113
2451590.83  18.800 0.095  18.417 0.023  17.777 0.015  17.730 0.026  17.701 0.065
2451600.79  19.087 0.240  18.614 0.079  17.990 0.023  18.070 0.046  18.023 0.099
2451640.68  19.873 0.154  19.287 0.069  18.980 0.042  19.197 0.068  18.902 0.168
