# sn00dk.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451807.88  15.500 0.038  15.917 0.016  15.896 0.010  15.724 0.012  15.871 0.016
2451809.88  15.431 0.037  15.699 0.012  15.692 0.007  15.558 0.009  15.713 0.011
2451810.80  15.405 0.037  15.664 0.015  15.652 0.009  15.498 0.011  15.696 0.014
2451811.84  15.423 0.036  15.630 0.012  15.578 0.007  15.456 0.008  15.742 0.012
2451813.71  15.562 0.037  15.637 0.014  15.568 0.008  15.468 0.011  15.803 0.014
2451818.71  16.146 0.038  16.004 0.015  15.667 0.009  15.653 0.011  16.114 0.014
2451821.97  16.650 0.039  16.435 0.017  15.906 0.010  15.876 0.013  16.260 0.018
2451825.81  17.359 0.040  17.021 0.015  16.153 0.009  15.996 0.011  16.166 0.016
2451844.60  18.995 0.117  18.682 0.039  17.585 0.016  17.201 0.024  16.970 0.042
2451873.73  19.918 0.229  19.392 0.052  18.529 0.027  18.366 0.041  18.422 0.066
2451875.64  99.999 9.999  19.296 0.070  18.610 0.032  18.364 0.047  18.567 0.068
2451906.66  99.999 9.999  19.866 0.121  19.515 0.067  19.450 0.103  19.371 0.137
2451933.61  99.999 9.999  20.347 0.215  20.245 0.143  99.999 9.999  99.999 9.999
