#
# PHOTOMETRY OF SN 1995bd (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
50077.80	17.91 0.02	17.22 0.03	16.73 0.03	16.43 0.03
50078.89	17.74 0.02	17.07 0.02	16.56 0.03	16.30 0.03
50079.75	17.61 0.02	16.94 0.02	16.46 0.03	16.23 0.02
50081.66	17.40 0.02	16.70 0.02	16.27 0.04	16.07 0.02
50087.72	17.29 0.03	16.49 0.02	16.06 0.03	16.07 0.02
50088.71	17.36 0.03	16.51 0.02	16.08 0.03	16.16 0.04
50089.74	17.37 0.02	16.50 0.03	16.08 0.03	16.14 0.02
50091.82	17.50 0.02	16.58 0.02	16.08 0.03	16.14 0.03
50095.70	17.77 0.02	16.76 0.03	16.32 0.03	16.40 0.03
50096.62	17.83 0.03	16.80 0.02	16.38 0.03	16.47 0.02
50099.58	18.11 0.03	17.03 0.02	16.66 0.03	16.62 0.05
50100.62	18.16 0.03	17.09 0.02	16.67 0.03	16.66 0.03
50101.61	18.21 0.02	17.14 0.03	16.75 0.03	16.69 0.03
50102.82	18.34 0.04	17.20 0.03	16.81 0.04	16.72 0.03
50106.79	18.64 0.02	17.36 0.03	16.90 0.04	16.66 0.03
50117.61	19.54 0.04	17.83 0.03	16.93 0.03	16.43 0.05
50129.59	20.07 0.02	18.39 0.02	17.59 0.04	17.09 0.02
50131.63	20.06 0.03	18.48 0.03	17.69 0.02	17.23 0.05
50162.64	20.61 0.04	19.33 0.03	18.62 0.03	18.29 0.03
50182.64	20.91 0.07	19.86 0.04	99.99 9.99	99.99 9.99
