#
# PHOTOMETRY OF SN 1996C (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
50130.94	99.99 9.99	16.52 0.05	99.99 9.99	99.99 9.99
50131.90	16.75 0.03	16.53 0.05	16.39 0.06	16.88 0.03
50132.86	16.81 0.03	16.63 0.04	16.44 0.06	16.92 0.03
50133.95	16.87 0.03	16.60 0.04	16.46 0.06	16.94 0.03
50135.88	99.99 9.99	16.66 0.04	16.54 0.05	17.06 0.02
50136.98	17.01 0.02	16.75 0.05	16.65 0.06	99.99 9.99
50141.97	17.34 0.03	17.00 0.05	17.00 0.06	17.45 0.03
50142.95	17.48 0.03	17.08 0.04	17.10 0.06	17.51 0.03
50148.90	99.99 9.99	17.40 0.05	99.99 9.99	99.99 9.99
50150.93	18.32 0.02	17.47 0.04	17.24 0.06	17.36 0.03
50151.75	18.50 0.03	17.57 0.04	17.21 0.04	17.41 0.04
50154.01	18.66 0.02	17.64 0.05	17.27 0.06	17.32 0.03
50159.86	19.13 0.02	17.99 0.05	17.45 0.06	17.29 0.03
50165.91	19.53 0.03	18.40 0.05	17.91 0.06	17.70 0.03
50172.85	19.65 0.02	18.58 0.05	18.16 0.06	18.06 0.03
50182.83	19.77 0.02	18.90 0.05	18.55 0.05	18.54 0.02
50202.84	20.04 0.02	19.44 0.05	19.18 0.06	19.46 0.03
50216.75	20.36 0.02	19.66 0.05	19.59 0.06	19.79 0.02
