#
# PHOTOMETRY OF SN 1994Q (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
49507.80	17.08 0.04	16.69 0.04	16.65 0.04	17.17 0.04
49508.80	17.13 0.03	16.75 0.04	16.72 0.04	17.21 0.04
49509.80	17.23 0.03	16.81 0.04	16.78 0.04	17.21 0.04
49511.80	17.46 0.04	16.94 0.04	16.91 0.04	17.25 0.04
49514.90	17.77 0.04	17.09 0.04	99.99 9.99	99.99 9.99
49516.70	99.99 9.99	17.16 0.04	17.00 0.04	17.18 0.04
49519.80	18.27 0.05	17.31 0.04	17.01 0.04	17.07 0.04
49521.80	99.99 9.99	17.46 0.04	17.02 0.04	17.13 0.04
49535.90	19.33 0.07	18.27 0.08	17.70 0.08	17.57 0.08
49542.80	19.52 0.07	18.51 0.08	17.98 0.08	18.02 0.08
49545.80	19.63 0.07	18.57 0.08	17.99 0.08	18.17 0.08
49564.70	99.99 9.99	19.18 0.10	99.99 9.99	99.99 9.99
49565.70	99.99 9.99	19.22 0.10	99.99 9.99	99.99 9.99
