#
# PHOTOMETRY OF SN 1996bl (1999AJ....117..707R)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
50373.8		17.11 0.02	17.04 0.02	16.88 0.02	17.10 0.03
50374.6		17.08 0.02	17.00 0.02	16.92 0.02	17.03 0.03
50385.7		17.50 0.03	17.20 0.02	17.07 0.02	17.40 0.03
50386.6		17.62 0.02	17.24 0.02	17.18 0.02	99.99 9.99
50394.7		18.50 0.04	17.68 0.02	17.59 0.04	17.78 0.04
50395.7		18.65 0.04	17.81 0.03	99.99 9.99	17.74 0.03
50397.8		18.88 0.03	17.87 0.03	17.62 0.03	99.99 9.99
50398.7		18.94 0.05	17.94 0.02	99.99 9.99	17.64 0.03
50401.7		19.30 0.03	18.07 0.02	17.65 0.02	17.54 0.03
50404.6		19.63 0.04	18.24 0.03	17.70 0.03	17.43 0.04
50413.7		20.03 0.06	18.86 0.03	18.26 0.03	18.00 0.03
50424.6		20.33 0.06	19.17 0.03	18.62 0.03	18.47 0.05
