# sn99ac.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451246.89  14.081 0.035  14.361 0.012  14.392 0.007  99.999 9.999  14.335 0.011
2451247.95  14.039 0.046  14.316 0.028  14.356 0.022  14.271 0.027  14.303 0.027
2451249.99  99.999 9.999  14.274 0.012  14.253 0.007  14.200 0.010  14.290 0.011
2451252.00  14.168 0.037  14.270 0.012  14.237 0.008  14.167 0.010  14.344 0.012
2451253.99  14.276 0.038  14.372 0.015  14.211 0.008  14.178 0.012  14.373 0.013
2451258.00  14.690 0.045  14.698 0.015  14.278 0.010  14.237 0.012  14.482 0.014
2451260.96  15.057 0.038  15.043 0.013  14.473 0.007  14.383 0.010  14.600 0.011
2451275.90  16.888 0.047  16.430 0.022  15.319 0.009  14.901 0.024  14.712 0.017
2451280.98  17.153 0.043  16.743 0.022  15.593 0.012  15.123 0.017  14.826 0.023
2451282.98  17.205 0.043  16.853 0.020  15.711 0.008  15.246 0.010  14.927 0.017
2451284.92  17.424 0.044  16.969 0.022  15.843 0.009  15.400 0.012  15.085 0.018
2451287.97  17.471 0.053  17.078 0.028  16.028 0.016  15.603 0.020  15.262 0.029
2451290.97  17.560 0.050  17.208 0.024  16.180 0.009  15.789 0.011  15.486 0.017
2451308.85  17.988 0.058  17.616 0.033  16.668 0.007  16.387 0.009  16.298 0.013
2451312.86  18.120 0.058  17.667 0.033  16.751 0.007  16.525 0.010  16.365 0.014
2451343.78  18.816 0.080  18.116 0.048  17.461 0.011  17.501 0.015  17.411 0.032
2451434.62  99.999 9.999  19.643 0.191  19.297 0.050  19.860 0.079  19.444 0.085
