# sn98V.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2450894.00  15.738 0.039  15.917 0.016  15.698 0.010  15.486 0.017  15.757 0.015
2450894.98  15.918 0.037  15.972 0.014  15.761 0.009  15.521 0.011  99.999 9.999
2450896.01  15.960 0.038  15.996 0.014  15.736 0.007  15.558 0.010  15.807 0.011
2450900.93  16.362 0.036  16.337 0.011  15.913 0.007  15.812 0.008  16.036 0.012
2450904.00  16.906 0.036  16.601 0.011  16.159 0.007  16.090 0.010  16.248 0.013
2450906.99  17.296 0.041  16.975 0.018  16.285 0.012  16.140 0.016  16.213 0.018
2450921.99  18.995 0.076  18.526 0.032  17.147 0.011  16.526 0.017  16.100 0.025
2450925.95  19.186 0.056  18.761 0.028  17.408 0.010  16.779 0.016  16.364 0.022
2450957.98  19.952 0.199  19.345 0.060  18.395 0.022  18.072 0.038  17.895 0.063
2450980.86  20.362 0.160  19.683 0.035  18.960 0.021  18.710 0.030  18.735 0.043
2450987.83  99.999 9.999  19.823 0.035  19.137 0.018  18.987 0.036  19.057 0.049
2451013.79  99.999 9.999  20.172 0.049  19.702 0.032  19.700 0.065  19.815 0.111
2451077.66  99.999 9.999  21.350 0.266  20.626 0.199  21.282 0.280  99.999 9.999
