#
# PHOTOMETRY OF SN 1994T (1999AJ....117..707R)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
49514.80	17.47 0.02	17.24 0.02	17.26 0.02	17.44 0.02
49515.70	17.48 0.04	17.25 0.04	17.04 0.04	17.48 0.04
49516.80	17.59 0.05	17.25 0.05	17.09 0.05	17.51 0.05
49518.70	17.77 0.05	17.43 0.05	17.22 0.05	17.74 0.05
49524.60	18.59 0.03	17.78 0.03	17.08 0.03	18.15 0.03
49530.70	18.88 0.04	18.15 0.04	17.85 0.04	17.72 0.04
49531.60	99.99 9.99	18.21 0.05	99.99 9.99	99.99 9.99
49537.70	99.99 9.99	18.64 0.08	99.99 9.99	99.99 9.99
49538.70	99.99 9.99	18.82 0.08	99.99 9.99	99.99 9.99
49541.70	20.35 0.08	19.14 0.05	18.59 0.05	18.31 0.05
49545.70	99.99 9.99	19.38 0.10	18.75 0.10	99.99 9.99
49546.70	99.99 9.99	99.99 9.99	99.99 9.99	18.56 0.10
49547.70	99.99 9.99	99.99 9.99	19.39 0.12	99.99 9.99

