# sn00cn.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451699.85  17.567 0.047  17.618 0.020  17.471 0.013  17.264 0.019  17.254 0.025
2451700.84  17.258 0.043  17.349 0.024  17.260 0.018  17.049 0.023  17.008 0.028
2451701.90  17.024 0.038  17.178 0.017  17.033 0.011  16.843 0.015  16.879 0.017
2451702.98  99.999 9.999  16.982 0.028  16.892 0.016  16.701 0.021  16.789 0.027
2451703.80  16.888 0.039  16.921 0.018  16.856 0.013  16.647 0.017  16.673 0.022
2451709.89  17.003 0.090  16.896 0.018  16.591 0.012  16.437 0.017  16.785 0.027
2451710.83  17.085 0.070  16.958 0.037  16.580 0.026  16.432 0.041  16.751 0.051
2451711.71  17.195 0.049  17.017 0.022  16.611 0.014  16.476 0.019  16.781 0.023
2451712.78  17.474 0.061  17.074 0.028  16.645 0.018  16.538 0.024  16.867 0.031
2451715.86  17.698 0.071  17.460 0.030  16.821 0.020  16.790 0.028  17.061 0.046
2451716.74  17.889 0.047  17.557 0.020  16.930 0.013  16.857 0.018  17.128 0.027
2451728.97  99.999 9.999  19.301 0.044  17.883 0.027  17.355 0.033  17.119 0.039
2451758.72  99.999 9.999  20.148 0.070  19.154 0.038  18.967 0.059  99.999 9.999
2451789.79  99.999 9.999  99.999 9.999  19.879 0.252  99.999 9.999  99.999 9.999
2451790.67  99.999 9.999  99.999 9.999  19.992 0.244  99.999 9.999  99.999 9.999
2451791.64  99.999 9.999  99.999 9.999  20.076 0.104  20.225 0.206  99.999 9.999
2451794.65  99.999 9.999  20.616 0.147  20.075 0.101  20.242 0.167  99.999 9.999
2451796.66  99.999 9.999  20.656 0.182  99.999 9.999  99.999 9.999  99.999 9.999
2451803.62  99.999 9.999  99.999 9.999  20.333 0.101  20.769 0.175  99.999 9.999
2451810.65  99.999 9.999  99.999 9.999  20.659 0.251  99.999 9.999  99.999 9.999
