# sn97cw.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2450642.94  17.041 0.039  16.892 0.016  16.146 0.008  15.948 0.011  16.109 0.014
2450643.88  17.227 0.038  17.024 0.015  16.184 0.009  16.002 0.012  16.155 0.013
2450644.85  17.319 0.056  17.096 0.027  16.222 0.015  16.079 0.020  16.189 0.024
2450645.98  17.469 0.048  17.213 0.020  16.341 0.010  16.132 0.014  16.197 0.020
2450646.98  17.594 0.059  17.282 0.019  16.359 0.009  16.199 0.012  16.182 0.013
2450647.98  17.804 0.076  17.424 0.045  16.429 0.008  16.215 0.014  16.167 0.013
2450652.92  18.453 0.119  17.971 0.046  16.643 0.018  16.268 0.024  16.113 0.027
2450653.94  18.484 0.079  18.145 0.028  16.707 0.018  16.290 0.025  16.038 0.025
2450665.99  19.368 0.116  18.808 0.033  17.227 0.013  16.619 0.019  16.196 0.018
2450673.99  19.612 0.187  19.229 0.050  17.612 0.021  17.044 0.027  16.627 0.027
2450680.99  99.999 9.999  19.258 0.097  17.920 0.058  17.427 0.075  16.956 0.073
2450682.97  99.999 9.999  19.293 0.094  17.983 0.057  17.469 0.072  17.194 0.070
2450685.97  99.999 9.999  19.379 0.051  18.075 0.030  17.545 0.042  17.299 0.040
2450688.00  99.999 9.999  19.329 0.051  18.138 0.037  17.655 0.047  17.444 0.047
2450693.79  99.999 9.999  19.499 0.036  18.260 0.021  17.828 0.028  17.769 0.040
2450783.74  99.999 9.999  21.126 0.092  20.068 0.051  20.421 0.093  99.999 9.999
2450810.62  99.999 9.999  99.999 9.999  20.472 0.086  20.690 0.160  99.999 9.999
