#
# V-band lightcurve of SN 2006aj (Modjaz et al. 2006, ApJL 645, 21)
#
# NOTE: these magnitudes have *not* been corrected for any extinction
#       or host galaxy light. 
#
#      MJD             V             Verr       
       53788.119       17.950000     0.023000000
       53788.128       17.972000     0.022000000
       53788.139       17.917000     0.022000000
       53788.147       18.010000     0.023000000
       53788.155       17.975000     0.022000000
       53788.164       17.921000     0.022000000
       53788.176       17.957000     0.022000000
       53788.184       17.941000     0.022000000
       53788.193       17.916000     0.022000000
       53789.130       17.801000     0.028000000
       53790.112       17.697000     0.025000000
       53790.129       17.645000     0.024000000
       53791.122       17.540000     0.024000000
       53791.135       17.561000     0.024000000
       53792.124       17.462000     0.026000000
       53792.137       17.506000     0.027000000
       53793.124       17.458000     0.023000000
       53793.138       17.425000     0.023000000
       53794.115       17.442000     0.023000000
       53796.117       17.524000     0.027000000
       53797.118       17.507000     0.025000000
       53798.150       17.539000     0.034000000
       53803.161       17.981000     0.074000000
       53803.174       17.983000     0.082000000
       53805.114       18.167000      0.10500000
       53807.111       18.513000      0.13300000
