#
# PHOTOMETRY OF SN 1996X (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
50187.80	13.38 0.03	13.39 0.03	13.27 0.03	13.36 0.02
50188.80	13.34 0.02	13.27 0.02	13.28 0.02	13.40 0.02
50191.80	13.26 0.04	13.22 0.03	13.18 0.02	13.45 0.02
50192.80	13.29 0.03	13.22 0.02	13.17 0.03	13.49 0.03
50194.80	13.36 0.03	13.25 0.03	13.18 0.02	13.52 0.02
50195.80	13.42 0.03	13.26 0.02	13.20 0.03	13.60 0.02
50197.80	13.57 0.03	13.33 0.03	13.33 0.03	13.71 0.04
50199.80	13.76 0.03	13.42 0.02	13.50 0.02	13.84 0.03
50200.80	13.85 0.03	13.46 0.02	13.57 0.03	13.92 0.04
50202.80	14.10 0.03	13.62 0.02	13.75 0.02	99.99 9.99
50210.80	15.10 0.03	14.13 0.02	13.98 0.02	13.95 0.03
50211.70	15.20 0.02	14.18 0.03	14.00 0.02	13.93 0.03
50215.70	15.59 0.03	14.42 0.03	14.07 0.03	13.89 0.03
50216.70	15.69 0.03	14.48 0.02	14.13 0.03	13.89 0.03
50220.70	16.00 0.02	14.77 0.03	14.37 0.03	13.95 0.05
50226.60	16.30 0.04	15.14 0.02	14.77 0.05	14.34 0.05
50239.65	16.62 0.03	15.57 0.02	15.33 0.03	14.97 0.05
50251.65	16.81 0.02	15.90 0.02	15.77 0.03	15.64 0.05
