#
# PHOTOMETRY OF SN 1996ab (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr
50225.80	19.74 0.03	19.51 0.04
50226.80	19.77 0.03	19.51 0.03
50228.96	19.84 0.04	19.61 0.03
50229.70	99.99 9.99	19.66 0.03
50230.80	20.07 0.03	19.66 0.03
50239.80	20.83 0.07	20.27 0.04
50240.80	20.91 0.08	20.33 0.04
50241.80	99.99 9.99	20.44 0.05
50242.80	21.14 0.13	20.52 0.05
50243.80	21.16 0.12	20.51 0.05
50245.70	21.67 0.22	20.67 0.07
50247.90	21.80 0.25	21.00 0.09
50248.80	21.87 0.25	21.10 0.10
50249.80	22.24 0.32	20.98 0.12
50251.80	22.29 0.32	21.11 0.21
50280.80	99.99 9.99	22.85 0.20
50283.70	99.99 9.99	22.64 0.20
