#
# PHOTOMETRY OF SN 1993ae (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
49302.60	16.59 0.02	16.04 0.02	99.99 9.99	16.32 0.04
49307.80	17.28 0.02	16.37 0.02	16.14 0.02	16.09 0.02
49311.70	17.75 0.02	16.66 0.02	16.29 0.02	16.06 0.02
49311.80	17.76 0.04	16.68 0.03	16.34 0.03	16.11 0.03
49314.60	18.07 0.05	16.94 0.02	16.51 0.02	99.99 9.99
49315.70	18.18 0.04	17.01 0.03	16.57 0.03	16.25 0.03
49317.60	18.31 0.05	17.10 0.05	16.73 0.05	16.39 0.04
49323.60	18.60 0.06	17.48 0.04	17.20 0.04	16.88 0.04
49327.70	18.63 0.05	17.63 0.03	99.99 9.99	17.14 0.04
49331.70	18.74 0.02	17.77 0.02	17.49 0.02	17.32 0.03
49338.60	18.86 0.09	99.99 9.99	99.99 9.99	17.68 0.09
49357.70	19.22 0.15	18.53 0.05	18.46 0.05	18.39 0.09
49359.60	19.12 0.09	18.51 0.04	18.49 0.04	18.63 0.09
49361.70	19.28 0.06	18.57 0.04	18.55 0.04	18.67 0.11
49372.60	99.99 9.99	18.85 0.07	18.92 0.07	19.05 0.18

